Diabetes Prevalence,Without Health Insurance (BRFSS),Annual Checkup,Poor Mental Health,Obesity Prevalence,Education < 9th,Education 9-12 No Diploma,High School Diploma,Associate Degree,Aged 65 and Over,Unemployed,In Poverty,Households with No Vehicle,Rural,Broadband Internet Subscription,Broadband Internet Structural Availability
11.8,12.5,75.1,19.8,40.2,4.6,10.3,38.0,10.8,20.9,3.8,18.0,5.2,0,75.1,100.0
12.2,13.3,75.7,19.5,38.2,6.9,11.9,41.8,8.3,19.3,2.4,13.1,7.8,0,64.4,100.0
10.3,11.7,74.8,18.8,37.7,4.6,11.2,32.4,11.1,18.2,2.5,12.2,3.3,0,81.9,100.0
12.3,12.9,75.2,19.4,38.9,4.4,10.7,30.9,10.1,17.0,4.0,16.7,4.8,0,82.3,100.0
16.3,14.1,79.9,20.4,44.6,3.5,10.6,38.2,11.1,18.3,4.5,24.3,12.9,0,72.8,100.0
12.5,16.7,71.8,20.7,41.0,10.8,11.0,33.5,10.3,16.9,2.4,20.6,4.4,0,79.9,100.0
10.6,10.7,76.3,17.8,38.8,3.6,8.7,32.1,10.1,15.5,2.7,10.3,4.4,0,85.4,100.0
14.3,15.5,76.0,20.9,45.8,4.6,13.6,43.7,8.0,18.0,4.8,23.5,6.2,0,68.1,100.0
11.4,12.3,74.4,19.9,39.3,3.9,9.9,33.8,10.0,18.9,3.4,16.0,5.2,0,82.3,100.0
12.2,13.6,74.5,20.6,37.7,5.8,11.2,41.0,8.4,21.0,4.9,21.3,10.3,0,71.9,100.0
12.6,17.5,73.1,19.9,39.1,6.8,13.7,42.2,5.9,16.5,2.6,18.1,6.7,0,60.7,100.0
12.6,14.0,74.9,20.7,41.6,6.1,11.4,36.6,11.7,20.0,1.8,23.5,7.1,0,72.1,100.0
20.3,17.7,79.9,22.0,52.0,2.3,13.2,39.3,9.6,22.9,3.9,39.8,17.6,0,55.8,100.0
15.7,15.1,78.6,20.5,46.1,4.8,14.0,39.1,8.9,19.4,3.5,24.9,10.5,0,67.5,100.0
11.8,12.5,75.9,19.1,38.3,6.9,11.8,32.2,9.1,22.4,2.6,14.4,6.7,0,80.4,100.0
11.7,12.1,75.4,18.9,39.6,3.5,8.8,32.1,9.7,17.8,2.9,17.7,6.3,0,80.6,100.0
11.6,13.1,73.3,20.1,37.7,5.7,11.9,38.3,9.2,20.1,2.8,17.6,4.8,0,78.4,100.0
12.6,10.6,76.7,17.7,39.3,2.4,6.6,26.4,8.3,15.9,3.7,15.9,7.2,0,85.2,100.0
11.5,12.9,74.0,20.1,38.7,6.2,11.4,41.7,9.4,21.8,2.5,16.3,7.3,0,65.8,100.0
10.8,10.7,74.5,18.5,38.0,2.9,8.4,35.1,7.9,19.8,2.2,13.3,6.0,0,78.1,100.0
11.8,13.0,74.1,19.9,41.3,5.5,11.3,41.3,7.7,18.1,1.6,15.4,5.2,0,68.5,100.0
11.3,10.1,75.3,17.2,38.9,2.9,5.8,22.1,9.7,12.3,2.5,19.9,4.6,0,85.9,100.0
10.5,10.8,74.3,17.6,36.6,4.6,8.9,27.3,8.8,15.1,2.7,11.5,2.9,0,86.5,100.0
17.3,15.5,80.0,20.4,47.4,4.6,10.6,43.1,9.6,19.0,4.3,21.5,10.2,0,55.8,100.0
16.5,13.3,80.4,19.5,47.9,3.4,13.0,30.0,7.5,20.3,5.5,22.2,9.6,0,69.2,100.0
10.2,8.9,77.8,16.4,41.9,2.3,5.7,19.2,7.7,14.9,2.8,10.9,4.0,0,88.9,100.0
14.9,13.7,77.2,19.5,47.2,2.6,10.8,35.7,10.0,19.7,2.7,22.3,9.4,0,72.1,100.0
11.4,13.1,73.7,20.3,39.2,5.8,12.9,35.6,11.2,20.8,3.1,17.5,4.6,1,73.2,100.0
11.3,14.0,73.4,19.5,34.6,6.9,9.6,31.2,10.2,16.9,2.2,17.7,4.8,0,85.8,100.0
