t1_2_3_6_7_s3_r,state,county
71.78999999999999,VA,Alleghany County
88.51,VA,Amelia County
96.43,VA,Amherst County
99.26,VA,Appomattox County
99.6,VA,Arlington County
76.1,VA,Augusta County
73.81,VA,Bath County
98.41,VA,Bedford County
51.849999999999994,VA,Bland County
81.38,VA,Botetourt County
45.879999999999995,VA,Brunswick County
87.94,VA,Buchanan County
83.97,VA,Buckingham County
99.46000000000001,VA,Campbell County
62.9,VA,Caroline County
77.19,VA,Carroll County
65.92,VA,Charles City County
87.1,VA,Charlotte County
98.52,VA,Chesterfield County
61.45,VA,Clarke County
68.42,VA,Craig County
88.2,VA,Culpeper County
90.57,VA,Cumberland County
74.53,VA,Dickenson County
50.88,VA,Dinwiddie County
68.45,VA,Essex County
99.82,VA,Fairfax County
70.99,VA,Fauquier County
60.029999999999994,VA,Floyd County
99.11,VA,Fluvanna County
95.22,VA,Franklin County
78.16,VA,Frederick County
84.23,VA,Giles County
84.67,VA,Gloucester County
62.78,VA,Goochland County
59.03,VA,Grayson County
83.07,VA,Greene County
43.8,VA,Greensville County
98.13,VA,Halifax County
81.77,VA,Hanover County
98.81,VA,Henrico County
91.25999999999999,VA,Henry County
63.72,VA,Highland County
77.38000000000001,VA,Isle of Wight County
98.6,VA,James City County
49.27,VA,King and Queen County
92.17,VA,King George County
48.65,VA,King William County
75.55,VA,Lancaster County
96.61,VA,Lee County
95.75,VA,Loudoun County
50.17,VA,Louisa County
57.46,VA,Lunenburg County
66.64999999999999,VA,Madison County
79.44,VA,Mathews County
61.82,VA,Mecklenburg County
69.26,VA,Middlesex County
93.28,VA,Montgomery County
90.69,VA,Nelson County
70.19,VA,New Kent County
87.45,VA,Northampton County
71.64,VA,Northumberland County
75.92999999999999,VA,Nottoway County
89.68,VA,Orange County
59.160000000000004,VA,Page County
42.49,VA,Patrick County
98.37,VA,Pittsylvania County
92.91,VA,Powhatan County
99.59,VA,Prince Edward County
91.4,VA,Prince George County
99.16,VA,Prince William County
84.89,VA,Pulaski County
47.349999999999994,VA,Rappahannock County
69.47,VA,Richmond County
98.02,VA,Roanoke County
83.82,VA,Rockbridge County
76.75999999999999,VA,Rockingham County
87.02,VA,Russell County
78.11,VA,Scott County
68.56,VA,Shenandoah County
83.37,VA,Smyth County
41.82,VA,Southampton County
89.05999999999999,VA,Spotsylvania County
97.86,VA,Stafford County
92.85,VA,Surry County
53.47,VA,Sussex County
91.18,VA,Tazewell County
85.72,VA,Warren County
89.25999999999999,VA,Washington County
87.46000000000001,VA,Westmoreland County
89.64,VA,Wise County
77.95,VA,Wythe County
98.67,VA,York County
99.8,VA,Alexandria city
99.92999999999999,VA,Bristol city
98.21,VA,Buena Vista city
99.81,VA,Charlottesville city
98.85000000000001,VA,Chesapeake city
99.66000000000001,VA,Colonial Heights city
85.26,VA,Covington city
99.14,VA,Danville city
98.4,VA,Emporia city
99.89,VA,Fairfax city
99.98,VA,Falls Church city
90.88000000000001,VA,Franklin city
99.19,VA,Fredericksburg city
98.24000000000001,VA,Galax city
98.09,VA,Hampton city
98.08,VA,Harrisonburg city
99.15,VA,Hopewell city
99.97,VA,Lexington city
99.25,VA,Lynchburg city
99.5,VA,Manassas city
99.03999999999999,VA,Manassas Park city
99.59,VA,Martinsville city
99.79,VA,Newport News city
98.78,VA,Norfolk city
99.95,VA,Norton city
97.35000000000001,VA,Petersburg city
99.69,VA,Poquoson city
99.68,VA,Portsmouth city
97.85000000000001,VA,Radford city
99.64,VA,Richmond city
99.59,VA,Roanoke city
99.39,VA,Salem city
98.89,VA,Staunton city
86.67,VA,Suffolk city
99.52,VA,Virginia Beach city
99.58,VA,Waynesboro city
99.32,VA,Williamsburg city
99.59,VA,Winchester city
79.10000000000001,WA,Adams County
96.15,WA,Asotin County
99.63,WA,Benton County
91.93,WA,Chelan County
79.65,WA,Clallam County
94.76,WA,Clark County
83.27,WA,Columbia County
91.92,WA,Cowlitz County
94.64,WA,Douglas County
65.97,WA,Ferry County
98.47,WA,Franklin County
60.699999999999996,WA,Garfield County
93.36,WA,Grant County
92.62,WA,Grays Harbor County
90.66,WA,Island County
76.18,WA,Jefferson County
99.33999999999999,WA,King County
95.58,WA,Kitsap County
88.48,WA,Kittitas County
78.64,WA,Klickitat County
89.62,WA,Lewis County
49.730000000000004,WA,Lincoln County
83.87,WA,Mason County
57.87,WA,Okanogan County
85.68,WA,Pacific County
71.94,WA,Pend Oreille County
96.82,WA,Pierce County
64.97,WA,San Juan County
90.68,WA,Skagit County
56.02,WA,Skamania County
96.5,WA,Snohomish County
98.32,WA,Spokane County
84.68,WA,Stevens County
95.39,WA,Thurston County
72.98,WA,Wahkiakum County
98.2,WA,Walla Walla County
92.89,WA,Whatcom County
84.78,WA,Whitman County
95.84,WA,Yakima County
67.2,WV,Barbour County
95.09,WV,Berkeley County
82.65,WV,Boone County
45.45,WV,Braxton County
90.48,WV,Brooke County
93.10000000000001,WV,Cabell County
22.93,WV,Calhoun County
32.21,WV,Clay County
48.24,WV,Doddridge County
74.92,WV,Fayette County
30.29,WV,Gilmer County
43.08,WV,Grant County
75.98,WV,Greenbrier County
46.86,WV,Hampshire County
91.05,WV,Hancock County
82.50999999999999,WV,Hardy County
86.3,WV,Harrison County
60.62,WV,Jackson County
95.65,WV,Jefferson County
89.17,WV,Kanawha County
64.77000000000001,WV,Lewis County
56.66,WV,Lincoln County
79.65,WV,Logan County
70.03,WV,McDowell County
89.91,WV,Marion County
72.00999999999999,WV,Marshall County
62.51,WV,Mason County
88.98,WV,Mercer County
84.43,WV,Mineral County
69.26,WV,Mingo County
96.41999999999999,WV,Monongalia County
52.54,WV,Monroe County
77.98,WV,Morgan County
60.419999999999995,WV,Nicholas County
94.31,WV,Ohio County
60.089999999999996,WV,Pendleton County
60.77,WV,Pleasants County
37.5,WV,Pocahontas County
77.79,WV,Preston County
80.78,WV,Putnam County
90.24,WV,Raleigh County
73.8,WV,Randolph County
90.3,WV,Ritchie County
42.19,WV,Roane County
56.18,WV,Summers County
87.24,WV,Taylor County
71.26,WV,Tucker County
37.74,WV,Tyler County
82.83,WV,Upshur County
76.01,WV,Wayne County
47.69,WV,Webster County
52.43,WV,Wetzel County
53.779999999999994,WV,Wirt County
90.18,WV,Wood County
69.55,WV,Wyoming County
94.54,WI,Adams County
83.56,WI,Ashland County
78.92,WI,Barron County
87.46000000000001,WI,Bayfield County
99.13,WI,Brown County
97.89,WI,Buffalo County
65.56,WI,Burnett County
99.79,WI,Calumet County
81.78,WI,Chippewa County
78.92,WI,Clark County
95.28999999999999,WI,Columbia County
78.86999999999999,WI,Crawford County
98.61,WI,Dane County
98.65,WI,Dodge County
84.36,WI,Door County
74.7,WI,Douglas County
78.93,WI,Dunn County
88.39,WI,Eau Claire County
74.85000000000001,WI,Florence County
99.67,WI,Fond du Lac County
46.72,WI,Forest County
86.94,WI,Grant County
99.3,WI,Green County
98.21,WI,Green Lake County
89.03,WI,Iowa County
58.75,WI,Iron County
85.55,WI,Jackson County
97.43,WI,Jefferson County
93.60000000000001,WI,Juneau County
96.19,WI,Kenosha County
98.88,WI,Kewaunee County
97.37,WI,La Crosse County
95.89999999999999,WI,Lafayette County
81.16,WI,Langlade County
57.18,WI,Lincoln County
97.72999999999999,WI,Manitowoc County
96.84,WI,Marathon County
52.96999999999999,WI,Marinette County
97.89,WI,Marquette County
98.85000000000001,WI,Menominee County
99.76,WI,Milwaukee County
93.08999999999999,WI,Monroe County
87.97,WI,Oconto County
56.879999999999995,WI,Oneida County
97.97,WI,Outagamie County
98.18,WI,Ozaukee County
90.60000000000001,WI,Pepin County
91.22,WI,Pierce County
79.80000000000001,WI,Polk County
97.65,WI,Portage County
55.28999999999999,WI,Price County
97.72999999999999,WI,Racine County
82.97,WI,Richland County
99.4,WI,Rock County
57.19,WI,Rusk County
90.8,WI,St. Croix County
92.06,WI,Sauk County
54.93,WI,Sawyer County
96.17,WI,Shawano County
96.66,WI,Sheboygan County
68.94,WI,Taylor County
91.60000000000001,WI,Trempealeau County
97.38,WI,Vernon County
50.029999999999994,WI,Vilas County
94.61,WI,Walworth County
45.2,WI,Washburn County
99.5,WI,Washington County
98.94,WI,Waukesha County
97.07000000000001,WI,Waupaca County
97.22,WI,Waushara County
98.11,WI,Winnebago County
98.88,WI,Wood County
93.69,WY,Albany County
82.66,WY,Big Horn County
96.91,WY,Campbell County
85.32,WY,Carbon County
88.96,WY,Converse County
72.19,WY,Crook County
89.86,WY,Fremont County
97.3,WY,Goshen County
86.61,WY,Hot Springs County
81.93,WY,Johnson County
97.05,WY,Laramie County
91.60000000000001,WY,Lincoln County
97.34,WY,Natrona County
83.16,WY,Niobrara County
87.21,WY,Park County
87.14,WY,Platte County
94.73,WY,Sheridan County
98.66,WY,Sublette County
96.75,WY,Sweetwater County
89.03,WY,Teton County
99.99,WY,Uinta County
89.32,WY,Washakie County
85.64,WY,Weston County
100.0,AS,Eastern District
100.0,AS,Manu'a District
0.0,AS,Rose Island
0.0,AS,Swains Island
100.0,AS,Western District
99.83999999999999,GU,Guam
0.0,MP,Northern Islands Municipality
90.38000000000001,MP,Rota Municipality
99.36,MP,Saipan Municipality
85.79,MP,Tinian Municipality
86.6,PR,Adjuntas Municipio
96.98,PR,Aguada Municipio
99.92,PR,Aguadilla Municipio
96.38,PR,Aguas Buenas Municipio
100.0,PR,Aibonito Municipio
99.79,PR,Añasco Municipio
97.49,PR,Arecibo Municipio
100.0,PR,Arroyo Municipio
99.74,PR,Barceloneta Municipio
100.0,PR,Barranquitas Municipio
100.0,PR,Bayamón Municipio
100.0,PR,Cabo Rojo Municipio
99.87,PR,Caguas Municipio
90.47,PR,Camuy Municipio
99.99,PR,Canóvanas Municipio
99.94,PR,Carolina Municipio
100.0,PR,Cataño Municipio
100.0,PR,Cayey Municipio
99.86,PR,Ceiba Municipio
94.3,PR,Ciales Municipio
99.98,PR,Cidra Municipio
100.0,PR,Coamo Municipio
100.0,PR,Comerío Municipio
100.0,PR,Corozal Municipio
89.19,PR,Culebra Municipio
99.83,PR,Dorado Municipio
98.7,PR,Fajardo Municipio
94.19,PR,Florida Municipio
98.88,PR,Guánica Municipio
99.69,PR,Guayama Municipio
96.7,PR,Guayanilla Municipio
99.82,PR,Guaynabo Municipio
99.91,PR,Gurabo Municipio
97.64,PR,Hatillo Municipio
100.0,PR,Hormigueros Municipio
98.05,PR,Humacao Municipio
98.37,PR,Isabela Municipio
96.7,PR,Jayuya Municipio
100.0,PR,Juana Díaz Municipio
100.0,PR,Juncos Municipio
99.92999999999999,PR,Lajas Municipio
92.35,PR,Lares Municipio
98.19,PR,Las Marías Municipio
100.0,PR,Las Piedras Municipio
99.96000000000001,PR,Loíza Municipio
99.1,PR,Luquillo Municipio
98.88,PR,Manatí Municipio
87.12,PR,Maricao Municipio
99.87,PR,Maunabo Municipio
100.0,PR,Mayagüez Municipio
99.26,PR,Moca Municipio
98.66,PR,Morovis Municipio
97.77,PR,Naguabo Municipio
100.0,PR,Naranjito Municipio
99.99,PR,Orocovis Municipio
99.51,PR,Patillas Municipio
93.05,PR,Peñuelas Municipio
99.22999999999999,PR,Ponce Municipio
98.08,PR,Quebradillas Municipio
98.38,PR,Rincón Municipio
100.0,PR,Río Grande Municipio
99.15,PR,Sabana Grande Municipio
99.72,PR,Salinas Municipio
100.0,PR,San Germán Municipio
99.99,PR,San Juan Municipio
99.96000000000001,PR,San Lorenzo Municipio
99.51,PR,San Sebastián Municipio
100.0,PR,Santa Isabel Municipio
99.9,PR,Toa Alta Municipio
100.0,PR,Toa Baja Municipio
99.99,PR,Trujillo Alto Municipio
88.87,PR,Utuado Municipio
98.66,PR,Vega Alta Municipio
99.17,PR,Vega Baja Municipio
75.72,PR,Vieques Municipio
100.0,PR,Villalba Municipio
99.98,PR,Yabucoa Municipio
86.44,PR,Yauco Municipio
99.61,VI,St. Croix Island
98.46000000000001,VI,St. John Island
99.29,VI,St. Thomas Island
