state,county,name,ed_lt9,ed_9_12,ed_hs,ed_sc,ed_asc,ed_b,ed_gr,age_gte65,race_white,race_black,race_aian,race_asian,race_nhopi,race_other,eth_hisp,sex_male,sex_female,occ_n_lab,occ_mgt,occ_svc,occ_sales,occ_nat_res,occ_prod,hlth_unins,ses_pov,tp_veh_0,tp_veh_1,tp_veh_2,tp_veh_3,dg_bb_int
48,199,"Hardin County, Texas",3.3,8.2,39.4,21.6,8.7,14.3,4.5,16.9,88.8,6.1,0.3,0.5,0.0,1.0,6.3,49.1,50.9,43.7,34.4,15.2,21.2,11.6,17.6,16.4,11.6,5.1,28.8,41.3,24.8,84.2
48,201,"Harris County, Texas",10.3,7.8,22.8,19.4,7.1,20.6,12.0,10.6,52.0,18.9,0.5,7.0,0.1,10.2,43.6,49.8,50.2,32.5,37.7,16.7,20.6,11.5,13.6,21.1,15.6,6.4,34.5,38.9,20.2,88.4
48,203,"Harrison County, Texas",3.7,8.3,32.8,26.0,8.2,14.5,6.6,17.2,69.4,20.0,0.3,0.8,0.0,3.6,13.7,48.8,51.2,42.0,31.1,16.9,19.8,13.7,18.5,15.3,17.0,6.1,30.8,37.5,25.6,74.9
48,205,"Hartley County, Texas",5.3,8.8,35.5,22.8,4.5,14.0,9.1,14.4,80.6,7.8,0.4,0.5,0.0,2.0,27.6,60.0,40.0,52.0,39.6,12.4,20.5,14.2,13.2,17.5,5.6,1.5,34.3,40.1,24.1,87.7
48,207,"Haskell County, Texas",9.6,11.6,38.3,17.7,5.3,10.0,7.7,22.4,81.6,5.4,0.3,0.0,0.0,6.7,28.8,54.8,45.2,47.5,30.6,22.7,20.4,16.0,10.2,19.8,12.4,4.8,33.4,31.8,30.0,76.1
48,209,"Hays County, Texas",4.2,5.3,22.6,22.9,6.3,25.0,13.7,11.1,76.6,4.0,0.7,1.5,0.1,3.5,40.0,49.9,50.1,32.3,40.1,17.0,22.9,9.2,10.8,13.9,13.6,3.1,27.5,44.2,25.3,89.3
48,211,"Hemphill County, Texas",8.3,6.2,35.7,20.1,8.0,17.1,4.6,16.9,77.8,1.6,0.2,0.0,0.0,12.2,35.5,57.0,43.0,34.1,30.1,17.1,14.9,26.8,11.1,18.4,6.2,5.2,31.4,36.3,27.0,82.9
48,213,"Henderson County, Texas",4.6,10.6,33.6,25.3,7.7,12.0,6.2,22.1,85.4,5.9,0.3,0.7,0.0,1.3,13.6,49.4,50.6,48.8,30.8,19.3,21.4,13.7,14.9,18.4,17.0,5.1,31.5,40.8,22.6,79.1
48,215,"Hidalgo County, Texas",19.4,13.2,24.3,18.3,5.3,13.6,5.9,11.0,64.4,0.6,0.2,1.0,0.0,10.7,92.5,49.2,50.8,41.3,28.2,23.3,22.5,13.7,12.3,30.8,28.1,6.0,34.2,36.9,22.9,76.4
48,217,"Hill County, Texas",6.0,8.6,34.4,23.9,9.8,12.1,5.2,20.2,82.2,6.2,0.7,0.8,0.1,5.1,21.6,50.2,49.8,40.6,26.0,16.3,22.5,15.6,19.6,16.8,12.3,5.8,30.5,36.4,27.3,83.7
48,219,"Hockley County, Texas",11.0,12.4,26.4,23.5,9.6,11.6,5.4,14.4,77.9,3.3,0.4,0.4,0.1,5.2,49.3,50.3,49.7,39.0,32.9,16.5,17.2,17.4,16.0,19.1,15.8,6.6,31.7,36.5,25.2,78.5
48,221,"Hood County, Texas",3.1,4.9,28.1,25.6,7.8,20.3,10.1,24.8,91.9,1.0,0.6,0.6,0.1,1.1,12.9,48.6,51.4,43.6,36.8,12.8,21.3,10.9,18.3,13.7,8.6,2.3,28.2,45.9,23.6,89.1
48,223,"Hopkins County, Texas",4.8,9.0,34.8,22.3,8.1,14.7,6.3,18.1,82.3,7.0,0.4,0.8,0.1,5.4,17.5,49.3,50.7,37.2,31.0,14.7,20.4,14.5,19.3,19.5,12.5,3.1,27.9,42.2,26.8,85.6
48,225,"Houston County, Texas",6.6,13.8,36.6,21.0,7.7,10.1,4.2,21.6,67.6,24.9,0.3,0.3,0.0,2.0,11.9,54.4,45.6,58.3,32.8,20.6,20.2,8.2,18.2,15.5,19.0,8.6,33.2,39.3,18.8,69.5
48,227,"Howard County, Texas",8.6,10.9,33.9,26.1,6.8,9.2,4.5,12.7,76.8,5.5,0.8,0.9,0.0,8.1,44.0,56.7,43.3,46.7,29.8,19.8,17.6,17.6,15.2,17.3,16.0,5.0,36.7,36.4,21.9,82.6
48,229,"Hudspeth County, Texas",30.2,20.2,22.9,14.2,4.1,8.3,0.2,14.1,46.7,1.4,1.0,0.8,0.0,16.6,77.7,51.1,48.9,71.6,25.7,29.1,25.3,10.7,9.2,21.3,27.8,12.3,45.0,26.6,16.1,61.7
48,231,"Hunt County, Texas",4.3,8.4,35.0,24.0,7.0,14.4,6.9,15.8,77.7,7.4,0.8,1.1,0.0,6.7,17.9,49.2,50.8,39.0,33.2,18.8,21.2,11.9,14.9,16.2,13.6,5.2,29.0,38.7,27.2,84.5
48,233,"Hutchinson County, Texas",5.3,8.5,33.0,26.5,10.2,12.7,3.9,16.8,80.6,2.2,1.8,0.5,0.5,4.2,24.2,51.1,48.9,39.0,28.7,15.5,18.3,14.4,23.1,18.5,12.6,3.9,29.7,36.5,30.0,84.6
48,235,"Irion County, Texas",5.5,5.8,26.3,34.4,9.6,15.6,2.7,17.4,69.9,5.5,0.0,0.0,0.0,21.2,26.4,52.0,48.0,41.4,17.0,20.4,24.4,12.6,25.6,14.6,15.0,5.8,37.1,32.5,24.7,59.5
48,237,"Jack County, Texas",5.9,12.5,38.2,22.7,5.9,9.9,4.8,17.3,90.1,4.3,0.0,0.6,0.0,1.1,17.5,55.2,44.8,52.1,25.8,16.7,24.5,15.8,17.2,18.9,15.5,11.9,29.5,36.3,22.2,78.7
48,239,"Jackson County, Texas",8.2,11.3,33.1,24.7,7.3,11.9,3.6,18.0,81.2,7.5,0.1,0.6,0.0,4.5,33.7,48.4,51.6,44.1,28.7,15.9,15.4,20.6,19.4,16.2,12.5,5.5,27.9,37.3,29.3,84.0
48,241,"Jasper County, Texas",3.7,11.8,43.8,20.8,6.7,7.9,5.2,20.1,75.8,15.5,0.2,0.4,0.0,3.3,7.1,49.4,50.6,46.5,31.5,19.9,17.6,14.7,16.2,19.3,24.2,5.7,32.0,40.9,21.4,77.2
48,243,"Jeff Davis County, Texas",8.0,5.4,17.9,34.7,6.8,10.9,16.3,36.9,90.9,1.8,0.0,0.0,0.0,1.7,23.9,53.3,46.7,58.9,38.8,25.4,16.2,14.5,5.0,20.9,22.0,3.4,33.9,44.9,17.9,70.1
